Intervalle:600 sec;;;;;;;;;;;
Tension:229.999 V;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Date/Heure:2018/25/04;10:00.0;20:00.0;;;;;;;;;
;;;;;;;;;;;
Date;Heure;'UL1_[V]';'UL2_[V]';'UL3_[V]';'IL1_[A]';'IL2_[A]';'IL3_[A]';'I_Neutral_[A]';;;
2018/27/04;20:00.0;235.985;234.156;234.802;0.907;0.812;0.559;0.452;;;
2018/27/04;30:00.0;236.192;234.34;234.546;0.907;0.78;0.561;0.52;;;
2018/27/04;40:00.0;236.222;234.557;235.049;0.907;0.771;0.563;0.534;;;
2018/27/04;50:00.0;236.332;234.44;235.251;0.906;0.77;0.563;0.531;;;
2018/27/04;00:00.0;236.369;234.786;235.467;0.954;0.772;0.565;0.641;;;
2018/27/04;10:00.0;236.172;234.62;235.341;0.904;0.85;0.566;0.608;;;
2018/27/04;20:00.0;236.405;235.009;235.626;0.885;0.799;0.567;0.57;;;
2018/27/04;30:00.0;236.318;235.167;235.663;0.876;0.779;0.569;0.601;;;
2018/27/04;40:00.0;236.504;235.2;235.563;0.874;0.777;0.568;0.589;;;
2018/27/04;50:00.0;236.429;235.125;235.502;0.906;0.771;0.567;0.527;;;
2018/27/04;00:00.0;236.365;234.801;235.493;0.907;0.822;0.566;0.541;;;
2018/27/04;10:00.0;235.729;234.244;234.875;0.905;0.798;0.565;0.452;;;
2018/27/04;20:00.0;235.926;234.49;235.033;0.905;0.768;0.569;0.533;;;
2018/27/04;30:00.0;235.877;234.223;234.769;0.907;0.844;0.567;0.579;;;
2018/27/04;40:00.0;235.838;234.314;234.698;0.906;0.85;0.566;0.566;;;
2018/27/04;50:00.0;235.956;234.438;234.92;0.908;0.896;0.566;0.62;;;
2018/27/04;00:00.0;235.903;234.465;234.877;0.951;0.923;0.565;0.644;;;
2018/27/04;10:00.0;235.972;234.478;234.976;0.933;0.875;0.568;0.69;;;
2018/27/04;20:00.0;236.171;234.559;235.071;0.911;0.853;0.569;0.666;;;
2018/27/04;30:00.0;236.202;234.606;235.091;0.902;0.852;0.57;0.651;;;
2018/27/04;40:00.0;235.936;234.41;234.993;1.037;0.853;0.571;0.722;;;
2018/27/04;50:00.0;235.732;234.447;234.905;3.064;0.946;0.58;2.72;;;
2018/27/04;00:00.0;235.943;234.843;235.143;3.003;0.905;0.581;2.684;;;
2018/27/04;10:00.0;237.103;236.127;236.334;2.737;0.86;0.585;2.466;;;
2018/27/04;20:00.0;238.005;236.778;237.022;2.589;0.858;0.585;2.284;;;
2018/27/04;30:00.0;238.195;236.732;237.137;2.5;0.857;0.584;2.174;;;
2018/27/04;40:00.0;237.723;236.398;236.626;2.459;0.915;0.582;2.059;;;
2018/27/04;50:00.0;237.637;236.457;236.596;2.475;0.924;0.581;1.971;;;
2018/27/04;00:00.0;237.53;236.329;236.49;2.528;0.866;0.583;2.198;;;
2018/27/04;10:00.0;237.219;235.946;236.215;2.716;0.866;0.586;2.464;;;
2018/27/04;20:00.0;237.287;236.024;236.456;2.693;0.865;0.581;2.438;;;
2018/27/04;30:00.0;237.004;235.688;235.986;2.655;0.864;0.58;2.395;;;
2018/27/04;40:00.0;236.152;234.731;235.27;2.614;0.957;0.576;2.181;;;
2018/27/04;50:00.0;236.095;234.481;235.004;2.545;0.893;0.577;2.156;;;
2018/27/04;00:00.0;235.366;234.101;234.706;2.66;0.86;0.58;2.379;;;
2018/27/04;10:00.0;235.518;234.299;235.133;2.626;0.857;0.603;2.359;;;
2018/27/04;20:00.0;235.375;234.413;235.085;2.442;0.85;0.608;2.143;;;
2018/27/04;30:00.0;235.019;233.574;234.56;2.516;0.946;0.63;2.086;;;
2018/27/04;40:00.0;234.503;233.166;234.274;3.37;1.203;0.712;2.915;;;
2018/27/04;50:00.0;235.067;234.998;235.489;6.18;1.032;0.734;6.245;;;
2018/27/04;00:00.0;235.687;235.652;236.079;4.824;1.027;0.733;4.851;;;
2018/27/04;10:00.0;235.813;236.185;236.451;4.967;1.024;0.748;5.055;;;
2018/27/04;20:00.0;235.493;235.279;235.849;4.786;1.063;0.794;4.845;;;
2018/27/04;30:00.0;235.316;235.265;235.839;4.712;1.069;0.852;4.934;;;
2018/27/04;40:00.0;235.38;234.635;235.298;3.919;1.136;0.91;4.226;;;
2018/27/04;50:00.0;235.518;234.454;235.295;1.323;1.249;1.158;0.83;;;
2018/27/04;00:00.0;234.859;233.954;234.67;1.406;1.579;1.524;1.518;;;
2018/27/04;10:00.0;234.735;234.035;234.943;0.808;1.944;1.865;2.386;;;
2018/27/04;20:00.0;234.641;234.02;234.971;0.789;2.215;2.293;2.449;;;
2018/27/04;30:00.0;234.411;233.994;234.978;0.85;2.43;2.508;2.781;;;
2018/27/04;40:00.0;234.133;233.726;234.912;0.784;2.827;2.777;3.17;;;
2018/27/04;50:00.0;234.237;234.07;234.97;0.909;3.028;2.996;3.047;;;
2018/27/04;00:00.0;234.827;234.03;235.333;0.983;3.229;3.201;3.005;;;
2018/27/04;10:00.0;235.94;235.13;236.569;1.028;3.327;3.384;2.996;;;
2018/27/04;20:00.0;236.174;235.313;237.042;1.139;3.345;3.527;2.956;;;
2018/27/04;30:00.0;235.228;235.333;236.306;1.301;3.676;3.71;2.975;;;
2018/27/04;40:00.0;235.193;235.14;236.175;1.636;3.844;3.881;2.806;;;
2018/27/04;50:00.0;235.564;234.807;236.315;1.945;3.998;4.029;2.608;;;
2018/27/04;00:00.0;235.537;234.772;236.058;2.131;4.123;4.175;2.546;;;
2018/27/04;10:00.0;236.801;236.949;237.632;2.27;3.955;4.269;2.493;;;
2018/27/04;20:00.0;237.353;237.497;238.158;2.381;4.092;4.354;2.498;;;
2018/27/04;30:00.0;237.924;237.554;238.148;2.472;4.306;4.471;2.528;;;
2018/27/04;40:00.0;236.839;237.092;238.39;3.719;4.406;4.587;6.498;;;
2018/27/04;50:00.0;236.669;237.638;238.738;4.943;4.531;4.674;9.618;;;
2018/27/04;00:00.0;237.359;237.726;238.457;3.363;4.57;4.769;7.553;;;
2018/27/04;10:00.0;236.766;236.257;237.154;2.174;4.428;4.754;3.093;;;
2018/27/04;20:00.0;235.161;235.582;236.175;2.34;4.615;4.834;3.024;;;
